0,下列说法正确的是,I的原子半径大于Br，HI比HBr的热稳定性强,P的非金属性强于Si，H3PO4比H2SiO3的酸性强,Al2O3和MgO均可与NaOH溶液反应,SO2和SO3混合气体通入Ba(NO3)2溶液可得到BaSO3和BaSO4,B,正确答案是 B。解析如下：A
15,下列叙述正确的是,0.1 mol·L－^1CH3COONa溶液中：c(Na＋)>c(CH3COO－)>c(H＋)>c(OH－),pH＝5的CH3COOH溶液和pH＝5的NH4Cl溶液中，c(H＋)不相等,在Na2S溶液中加入AgCl固体，溶液中c(S2－)下降,Na2CO3溶液加水稀释后，恢复至原温度，pH和Kw均减小,C,C。
16,列物质的使用不涉及化学变化的是,明矾用作净水剂,生石灰作干燥剂,液氨用作制冷剂,氢氟酸刻蚀玻璃,C,C
17,关于离子交换法净化水的过程，下列说'法中错误的是,通过净化处理后，水的导电性降低,阴离子树脂填充段存在反应H+ + OH- = H2O,水中的NO2、SO42-，Cl-通过阴离子树脂后被除,经过阳离子交换树脂后，水中阳离子的总数不变,D,D。经过阳离子交换树脂后，水中阳离子的总数会减少，因为阳离子树脂会吸附水中的阳离子。
18,“春蚕到死丝方尽，蜡炬成灰泪始干”是唐代诗人李商隐的著名诗句，下列关于该诗句中所涉及物质的说法错误的是,蚕丝的主要成分是蛋白质,古代的蜡是高级脂肪酸酯，属于高分子聚合物,蚕丝属于天热高分子材料,“蜡炬成灰”过程中发生了氧化反应,B,B
19,下列有关实验原理、方法和结论都正确的是,用蒸馏水、酚酞、BaCl2溶液和已知浓度盐酸标准液作试剂，可测定NaOH固体(杂质仅为Na2CO3)的纯度,实验室中的CCl4含有少量溴，加适量的苯，振荡、静置后分液，可除去CCl4中的溴,已知Cu2O＋2H＋===Cu2＋＋Cu＋H2O，氢气还原氧化铜后所得红色固体能完全溶于稀硝酸，说明还原产物是铜,取一定量水垢加盐酸，生成能使澄清石灰水变浑浊的气体，说明水垢的主要成分为CaCO3、MgCO3,A,D。
20,下列物质性质与应用对应关系正确的是,水玻璃易溶于水，可用于生产黏合剂和防火剂,明矾溶于水能产生Al(OH)3胶体，可用作净水剂,钠和钾的合金具有导电性，可用于快中子反应堆热交换剂,甲醛能使蛋白质变性，可用于食品防腐剂,B,B
21,类推法在化学学习中经常采用，下列类推的结论正确的是,由常温下金属钠、铝可溶于NaOH溶液，可知金属镁也能溶于NaOH溶液,常温下，由Cu＋4HNO3(浓)===Cu(NO3)2＋2NO2↑＋2H2O，所以Fe也能与浓硝酸反应产生NO2,由钠保存在煤油中，所以钾也可以保存在煤油中,由Cl2＋2KBr===2KCl＋Br2，所以F2也能与KBr溶液反应置换出Br2,C,C。 解析：A 选项错误，虽然钠和铝可以与 NaOH 溶液反应，但镁与 NaOH 溶液反应需要加热。B 选项错误，铁与浓硝酸反应会生成较稳定的 Fe(NO3)3 而不是 NO2。C 选项正确，因为钾比钠更活泼，需要更低的沸点液体（如煤油）来防止其与空气中的氧气或水蒸气反应。D 选项错误，F2 的氧化性非常强，能够直接将 Br- 氧化为 Br2，但在这个过程中 F2 会被还原成 F-，而不是生成 KF 和 Br2。
22,下列化合物的分子中，所有原子可能共平面的是,甲苯,乙烷,1，3-丁二烯,丙炔,C,C
23,下列说法正确的是,将石蜡油(液态烷烃混合物)加强热分解生成的气体都是烷烃,甲苯能够使溴的四氯化碳溶液和酸性高锰酸钾溶液褪色,乙醇能够被酸性的高锰酸钾溶液直接氧化成乙酸,乙烷与氯气在光照条件下发生加成反应,C,B
24,下列变化不能说明发生了化学变化的是,变化时释放或吸收能量,变化时有电子的得失或共用电子对的形成,变化过程中有化学键的断裂和形成,变化前后原子的种类和数目没有改变，分子种类增加了,A,D
25,下列说法正确的是,用玻璃棒蘸取某溶液做焰色反应实验，火焰呈黄色并不能说明该溶液中含有钠元素,测氯水的pH值，可用干燥洁净的玻璃棒蘸取氯水点在pH试纸上，待其变色后和标准比色卡比较,实验室从海带中提取单质碘的方法是：取样→灼烧→溶解→过滤→萃取,配制浓硫酸、浓硝酸的混酸时，应将浓硝酸沿玻璃棒缓慢注入浓硫酸中,A,A
26,下列有关变化过程的叙述不正确的是,用“地沟油”纯化生产“生物燃油”的过程发生的是化学变化,从海水中提取镁必须通过化学反应才能实现,用侯氏制碱法制纯碱必须通过化学反应才能实现,激光法蒸发石墨得C60发生的是化学变化,A,D
27,古代的很多成语、谚语都蕴含着很多科学知识，下列对成语、谚语的解释正确的是,“玉不琢不成器”，“百炼方能成钢”发生的均为化学变化,“火树银花”中的焰火实质上是金属元素的焰色反应,“甘之如饴”说明糖类均有甜味,“爆竹声中除旧岁，春风送暖入屠苏”。爆竹爆炸发生的是分解反应,B,B
28,用NA表示阿伏加德罗常数的值，下列说法正确的是：a 将1 mol氯气通入一定量水中发生反应转移电子数为NA；b 12.0 g熔融的NaHSO4中含有的阳离子数为0.1NA；c 在标准状况下，22.4 L辛烷中的分子数为NA；d 1 mol羟基中含有的电子数为10NA；e 1 mol Na2O和Na2O2混合物中含有的阴、阳离子总数是3NA,cde,ace,be,de,C,B
29,下列各种物质在一定条件下反应，所得产物种类与反应物的用量或条件无关的是a: Fe＋O2；b: NH4HCO3＋NaOH；c: Cu＋Cl2；d: Ca(HCO3)2＋Ca(OH)2；e: C＋SiO2,abd,cd,ade,bc,B,B
30,“6·5”世界环境日中国主题为“向污染宣战”，下列行为不利于遏制污染的是,扩建小型钢铁厂、水泥厂，提高钢铁、水泥的产,研发可降解的聚碳酸酯替代聚乙烯作一次性塑料袋的生产原料,推广机动车用天然气替代汽油、柴油的“油改气工程”,发展风能和太阳能等清洁能源，减少使用化石燃料,A,A
31,FeCl3溶液是实验室中使用较为广泛的一种试剂，下列有关FeCl3溶液的作用或实验现象解释合理的是,向FeCl3溶液中滴加氨水出现红褐色沉淀：Fe3＋＋3OH－===Fe(OH)3,FeCl3溶液使蓝色石蕊试纸变红：Fe3＋＋3H2O===3H＋＋Fe(OH)3,检测FeCl3溶液中的Fe3＋用KSCN溶液：Fe3＋＋3SCN－===Fe(SCN)3,用FeCl3溶液腐蚀印刷电路板：Fe3＋＋Cu===Cu2＋＋Fe2＋,C,C。
32,人类生活离不开化学知识，下列叙述不正确的是,因患“禽流感”而被捕杀的家禽尸体常用生石灰处理,臭氧是饮用水的理想消毒剂之一，因为它杀菌能力强且不影响水质,医疗上常用体积分数为75%的酒精进行皮肤消,食品加工、消毒、防腐常使用福尔马林,D,D
33,科学家最近研究出一种环保、安全的储氢方法，其原理可表示为NaHCO3＋H2==HCOONa＋H2O，释氢为其逆向反应。下列有关说法正确的是,HCOONa晶体中既含有离子键又含有共价键,储氢过程中，NaHCO3被氧化,储氢、释氢过程均无能量变化,释氢过程的本质是盐类的水解,A,A
34,下列化学方程式中，不能正确表达反应颜色变化的是,向Mg(OH)2悬浊液中滴加足量FeCl3溶液出现红褐色沉淀：3Mg(OH)2+2FeCl3==2Fe(OH)3+3MgCl2,澄清的石灰水久置后出现白色固体：Ca(OH)2+CO2==CaCO3+H2O,向CuSO4溶液中加入足量Zn粉，溶液蓝色消失：Zn+CuSO4==Cu+ZnSO4,Na2O2在空气中放置后由淡黄色变为白色：2Na2O2==2Na2O+O2,D,B解析：选项B中的反应虽然描述了澄清石灰水久置后出现白色固体的现象，但实际上该反应并没有产生明显的颜色变化。反应生成的碳酸钙是白色的，但这个变化并不直观地体现为颜色的变化，而是沉淀的形成。而其他选项都明确描述了颜色变化的过程：A
35,根据下列实验操作和现象，所得出的结论不正确的是,实验操作：在酒精灯上加热铝箔。实验现象:铝箔熔化但不滴落。结论:熔点：氧化铝>铝。,实验操作：常温下，向浓硫酸中投入铁片。实验现象:铁片不溶解。结论:常温下，铁不与浓硫酸反应。,实验操作：向硅酸钠溶液中滴加1滴酚酞，然后逐滴加入稀盐酸至红色褪去。实验现象:2 min后，试管里出现凝胶。结论:酸性：盐酸>硅酸。,实验操作：向某溶液中先滴加KSCN溶液，再滴加少量氯水。实验现象:先无明显现象，后溶液变成红色。结论:溶液中含有Fe2＋，没有Fe3＋。,B,B、D。解析如下：- 选项 B 中的结论不正确。实际上，在常温下，铁会在浓硫酸中发生钝化作用，形成一层致密的氧化物保护膜，阻止进一步的反应，因此铁片不会溶解。但这并不意味着常温下铁不与浓硫酸反应，而是反应生成了氧化膜阻止了进一步的反应。- 选项 D 的结论不正确。向溶液中先滴加 KSCN 溶液，再滴加少量氯水，如果溶液变红，则说明有 Fe3+ 的生成。这表明原溶液中可能存在 Fe2+ 被氧化为 Fe3+。所以不能得出“没有 Fe3+”的结论。选项 A 和 C 的结论是正确的。
36,下列中学常见实验的现象或表述正确的是,向CuSO4溶液中滴入过量的NaOH溶液充分反应后，将混合液体倒入蒸发皿中加热煮沸一会，然后冷却、过滤，滤纸上的物体为“蓝色固体”,制备氢氧化亚铁时，向硫酸亚铁溶液中滴加氢氧化钠溶液，边加边搅拌，即可制得白色的氢氧化亚铁,检验红砖中的氧化铁成分，向红砖粉末中加入盐酸，充分反应后取上层清液于试管中，滴加KSCN溶液2～3滴，溶液显红色即可证明,过量的铁投入到一定量的稀硝酸中，充分反应后取上层清液于试管中，滴加KSCN溶液，溶液显红色,C,C
37,X、Y、Z均为短周期主族元素，它们原子的最外层电子数之和为10。X与Z同族，Y最外层电子数等于X次外层电子数，且Y原子半径大于Z。下列叙述正确的是,熔点：X的氧化物比Y的氧化物高,Y的单质与Z的单质均能溶于浓酸,X与Z可形成离子化合物ZX,热稳定性：X的氢化物大于Z的氢化物,D,D解析：- 首先确定X、Y、Z的可能元素。X与Z同族，设X为第n族，Z也为第n族。Y最外层电子数等于X的次外层电子数，说明Y可能是第二周期元素。- 根据最外层电子数之和为10，假设X为第n族，其最外层电子数为n，Z也为n，则Y的最外层电子数为10-n-n=10-2n。结合Y原子半径大于Z，推测Y可能是Be（4）或Mg（2），但Be不符合Y的最外层电子数要求，所以Y为Mg（2），Z为O（6），X为C（4）。- A选项：C的氧化物（CO₂）熔点高于Mg的氧化物（MgO），此选项错误。- B选项：Mg不溶于浓硝酸，此选项错误。- C选项：C与O可以形成CO₂等共价化合物，但不能形成离子化合物，此选项错误。- D选项：C的氢化物（CH₄）热稳定性高于O的氢化物（H₂O），此选项正确。
38,关于下列诗句或谚语，下列说法不正确的是,“忽闻海上有仙山，山在虚无缥缈间”的海市蜃楼是一种自然现象，与胶体知识有关,“滴水石穿、绳锯木断”不包含化学变化,“落汤螃蟹着红袍”肯定发生了化学变化,“水乳交融，火上浇油”前者包含物理变化，而后者包含化学变化,B,B。滴水石穿和绳锯木断的过程中都涉及到物质的磨损或分解，属于化学变化。
39,设NA是阿伏加德罗常数的值，下列说法正确的是,1 mol Cl2与足量的铁反应转移的电子数与1 mol铁与足量的Cl2反应转移的电子数相等,某温度下纯水的pH＝6，该温度下10 L pH＝11的NaOH溶液中含OH－的数目为NA,在标准状况下，11.2 L NO与11.2 L O2混合后所含分子数为0.75NA,0.5 mol·L^－1 Na2SO4溶液中含有的阴、阳离子总数为1.5NA,B,B解析如下：A选项错误，因为氯气和铁反应时，铁被氧化成Fe^2+或Fe^3+，而氯气被还原成Cl^-。1 mol Cl2与足量的铁反应转移的电子数为2NA，而1 mol铁与足量的Cl2反应转移的电子数也为2NA，两者相等。B选项正确，因为纯水中pH=6表示[H+] = 10^-6 mol/L，pH=11的NaOH溶液中[OH-] = 10^-3 mol/L。10 L的这种溶液含有的OH-数目为10 L * 10^-3 mol/L * NA/mol = NA。C选项错误，因为在标准状况下，11.2 L NO和O2混合后的实际分子数取决于它们的反应情况，NO和O2按照2:1的比例完全反应生成NO2，最终气体分子数小于0.75NA。D选项错误，0.5 mol·L^-1 Na2SO4溶液中每升含有0.5 mol Na2SO4，即1 mol钠离子和0.5 mol硫酸根离子，总共1.5 mol离子，但此选项未指明体积，若以1 L为例，则含有的阴、阳离子总数为1.5NA。因此，没有明确指出体积的情况下，该表述不够准确。但相对于其他选项，它在数值上是正确的，但由于缺少必要条件（如溶液的体积），严格来说不能确定为完全正确。在仅给出选项的情况下，B是最符合题意且无条件缺失的正确选项。
40,短周期元素W、X、Y、Z位于同一周期，其原子序数依次增大，W原子半径最大，Z最高价氧化物的水化物酸性最强，Y的单质与盐酸、氢氧化钠均能反应生成氢气。据此判断下列说法正确的是,工业上电解熔融的Y、Z的化合物可得Y单质,X的单质在氧气中燃烧的产物中含离子键、共价键,W、Z形成的化合物在水溶液中能电离,Y的单质在空气中加热不会熔化,C,B
41,设NA为阿伏加德罗常数的值，下列叙述正确的是,用石墨作电极电解饱和食盐水时，若阴极得到2NA个电子，则阳极产生22.4 L气体,常温常压下，Na2O2与足量H2O反应，共生成0.2 mol O2，转移电子的数目为0.4NA,2 L 0.05 mol·L^－1乙酸溶液中H＋数目为0.1NA,等物质的量的Na2O和Na2O2中含有的阴离子总数不同,B,B。解析如下：A选项不正确，因为如果阴极得到2NA个电子（即2mol电子），那么理论上应该析出2mol的氢气，但在标准状况下（0℃，101.3kPa）2mol氢气的体积才是44.8L，而不是22.4L。B选项正确，因为过氧化钠（Na2O2）与水反应的方程式是：2Na2O2 + 2H2O → 4NaOH + O2↑，每生成1mol氧气就会转移4mol电子，所以生成0.2mol氧气时，转移的电子数为0.2mol × 4 = 0.8NA。C选项不正确，因为乙酸在水中部分电离，且完全电离后产生的H+数目会小于理论上的0.1NA，具体数值取决于乙酸的解离常数。D选项不正确，因为等物质的量的Na2O和Na2O2中，两者都含有1mol的阴离子（Na2O中的O2-和Na2O2中的O2-），因此阴离子总数相同。
42,下列各组中的反应，属于同一反应类型的是,乙烷和氯气制氯乙烷；乙烯与氯化氢反应制氯乙烷,乙醇和氧气制乙醛；苯和氢气制环己烷,葡萄糖与新制氢氧化铜共热；蔗糖与稀硫酸共热,乙醇和乙酸制乙酸乙酯；苯的硝化反应,D,A。这两组反应都是取代反应。乙烷和氯气制氯乙烷以及乙烯与氯化氢反应制氯乙烷都涉及卤素原子对有机分子的取代。而其他选项中的反应类型不同。
43,原子结构决定元素的性质，下列说法中正确的是,第二周期元素的最高正化合价都等于其原子的最外层电子数,非金属元素的非金属性越强，其氧化物对应水化物的酸性也一定越强,Na、Al、Cl的原子半径依次减小，Na＋、Al3＋、Cl－的离子半径也依次减小,在第ⅥA族元素的氢化物(H2R)中，热稳定性最强的其沸点也一定最高,D,A。解析如下：A
44,化学与生命、材料、能源等科学密切联系。下列有关化学发展方向的说法不正确的是,研发高效、高残留农药，提高粮食产量,研发新药物，预防和治疗人类的疾病,开发光电转换材料，充分利用太阳能,开发高效的模拟酶催化剂，减少对化肥的依赖,A,A
45,战国所著《周礼》中记载沿海古人“煤饼烧蛎房成灰”(“蛎房”即牡蛎壳)，并把这种灰称为“蜃”。蔡伦改进的造纸术，第一步沤浸树皮脱胶的碱液可用“蜃”溶于水制得。“蜃”的主要成分是,NaHCO3,SiO2,CaCO3,CaO ,D,D
46,下列关于仪器使用的说法正确的是,振荡分液漏斗时应关闭其玻璃塞和活塞,锥形瓶用作反应容器时一定不能加热,银镜反应后的试管用浓硝酸洗涤，以加快银的溶解,滴定管装滴定液时应先用蒸馏水润洗,A,正确D。
47,“蒸发浓缩”需选用的仪器除了圆底烧瓶、蒸馏头、温度计、接收管之外，还有,直形冷凝管,烧杯,锥形瓶,球形冷凝管,A,B
48,下列进行性质比较的实验，不合理的是,比较Cu、Fe的还原性：铜加入硫酸铁溶液中,比较镁的金属性强于铝：取一小段除去氧化膜的镁带和铝片，分别加入1.0 mol·L－1的盐酸中,比较高锰酸钾的氧化性强于氯气：高锰酸钾中加入浓盐酸,比较氯的非金属性强于溴：溴化钠溶液中通入氯气,A,C。在C选项中，高锰酸钾与浓盐酸反应生成氯气，这个反应不能直接用来比较高锰酸钾和氯气的氧化性强弱，因为生成的氯气也具有很强的氧化性，不能准确判断两者氧化性的相对强弱。其他选项中的实验设计都是合理的。
49,下列实验的现象、解释或结论均正确的是,实验:在新制氯水中加入碳酸钙粉末，充分搅拌，氯水的漂白性增强。解释或结论：氯水中HClO的物质的量浓度增大。,实验:用蒸馏法能将溶解在CCl4中的碘分离出来。解释或结论：因为碘易升华，先分离出来。,实验:向某溶液中逐渐通入CO2气体，先出现白色胶状沉淀，继续通入CO2气体，白色胶状沉淀不溶解，证明该溶液中存在AL3+。解释或结论：Al(OH)3是两性氢氧化物，不溶于碳酸溶液。,实验:向Fe(NO3)2溶液中滴入硫酸酸化的H2O2溶液，则溶液变为黄色。解释或结论：氧化性：H2O2>Fe3＋。,C,A。解析如下：A
50,世界卫生组织癌症专门机构指认“大气污染对人类致癌”。下列行为有利于防止大气污染、遏制雾霾天气发生的是,冬季燃烧大量烟煤供热取暖,加大石油的开发和进口，满足交通业的需求,提倡乘坐地铁、公交车，减少驾驶私家车,在田间焚烧秸杆,C,C
51,下列说法正确的是,若保持温度不变，向氨水中通入一定量HCl气体，会减小的是c(OH－)/c(H＋）,足量的NaHSO3溶液和Na2CO3溶液混合后K1(H2SO3)>K1(H2CO3)>K2(H2SO3)>K2(H2CO3),同温同浓度的NaHCO3溶液和CH3COONa溶液的pH数值前者小于后者,中和25 mL 0.1 mol·L－1 NaOH溶液所需CH3COOH和HCl的物质的量前者小于后者,A,"C。解析如下：A选项不正确。通入HCl气体到氨水中，会发生反应：NH₃·H₂O + HCl → NH₄Cl + H₂O。这会消耗OH⁻离子，但由于同时生成了等量的H⁺，c(OH⁻)/c(H⁺)的比值实际上不会改变，因此这个选项错误。B选项不正确。虽然亚硫酸氢钠（NaHSO₃）和碳酸钠（Na₂CO₃）都是盐，但它们的水解过程涉及不同酸的离解常数。H₂SO₃和H₂CO₃的Ka₁和Ka₂值分别是：- H₂SO₃: Ka₁ = 1.5 × 10⁻², Ka₂ = 1.0 × 10⁻⁷- H₂CO₃: Ka₁ = 4.3 × 10⁻⁷, Ka₂ = 5.6 × 10⁻¹¹从这些数据来看，正确的排序应该是：K₁(H₂SO₃) > K₁(H₂CO₃) > K₂(H₂SO₃) > K₂(H₂CO₃)，所以B选项中的排序有误。C选项正确。碳酸氢钠（NaHCO₃）和醋酸钠（CH₃COONa）的水解程度比较，由于碳酸氢根的水解程度大于醋酸根（因为H₂CO₃的Ka₁远大于CH₃COOH的Ka），因此同温同浓度时，NaHCO₃溶液的pH值应小于CH₃COONa溶液的pH值。D选项不正确。中和等体积、等浓度的NaOH溶液，所需的CH₃COOH和HCl的物质的量理论上应该相同，因为它们的浓度和体积都相同，所以需要的物质的量也应相等。但是根据题目表述，这里可能存在误导信息，因为没有具体说明是否是完全中和或者过量问题，但从化学平衡的角度，如果假设完全中和，那么两者的物质的量应该相等。不过基于题目的直接提问方式，此选项设定可能意在考察学生对中和反应的理解，若仅考虑完全中和，则两者的物质的量确实相等，但若考虑实际操作中可能"
52,元素周期律和周期表揭示了元素之间的内在联系，反映了元素性质与它的原子结构的关系。下列有关性质的大小关系符合元素周期律的是,酸性：HNO3＞H3BO3＞H2CO3,稳定性：HF＞PH3＞H2O,金属性：K＞Mg＞Al,碱性：Be(OH)2＞Mg(OH)2＞Ca(OH)2,C,C
53,下列有关叙述正确的是,H2SO4、Na2CO3、FeCl3、NaOH中能两两发生反应的物质共有4组,向FeI2溶液中加入盐酸和过量的H2O2：2I^－＋H2O2＋2H^＋===I2＋2H2O,向AlCl3溶液中加入氨水制Al(OH)3：Al^3＋＋3OH－===Al(OH)3,向CuCl2溶液中加入少量氨水：Cu2＋＋2OH－===Cu(OH)2,A,B解析：A 项错误，因为 Na2CO3 和 FeCl3 不会发生反应。B 项正确。向 FeI2 溶液中加入盐酸和过量的 H2O2 的反应方程式是正确的，首先 I- 被 H2O2 氧化成 I2，然后 I2 可以与 Fe2+ 反应生成 Fe3+。C 项错误，因为 AlCl3 与氨水反应生成 Al(OH)3 沉淀和 NH4Cl，正确的方程式应该是：Al^3+ + 3NH3·H2O === Al(OH)3↓ + 3NH4+。D 项错误，向 CuCl2 溶液中加入少量氨水应该生成深蓝色的 Cu(NH3)4^2+ 复合物，而不是 Cu(OH)2 沉淀。正确的反应方程式为：Cu^2+ + 4NH3·H2O === [Cu(NH3)4]^2+ + 4H2O。
